VNGeneral_variables,unit,description,lower,median,upper,distribution,variable
oils_co2e,digit,co2e,2.851,,2.851,const,oils_co2e
beans_co2e,digit,co2e,0.822,,0.822,const,beans_co2e
nuts_co2e,digit,co2e,0.51,,0.51,const,nuts_co2e
rice_co2e,digit,co2e,2.324,,2.324,const,rice_co2e
cereals_co2e,digit,co2e,0.876,,0.876,const,cereals_co2e
dairy_co2e,digit,co2e,1.38,4.21,21.48,lnorm,dairy_co2e
eggs_co2e,digit,co2e,1.21,2.43,3.64,lnorm,eggs_co2e
fish_seaf_co2e,digit,co2e,2.69,6.78,44.386,lnorm,fish_seaf_co2e
fruits_co2e,digit,co2e,0.66,,0.66,const,fruits_co2e
pork_orm_co2e,digit,co2e,4.189,8.04,15.516,lnorm,pork_orm_co2e
poultry_co2e,digit,co2e,3.17,3.59,4.017,lnorm,poultry_co2e
other_co2e,digit,co2e,0.573,,0.573,const,other_co2e
potatoes_co2e,digit,co2e,0.49,,0.49,const,potatoes_co2e
vegetables_co2e,digit,co2e,1.277,,1.277,const,vegetables_co2e
cheese_co2e,digit,co2e,5.18,10.59,22.31,lnorm,cheese_co2e
beef_co2e,digit,co2e,16.022,32.95,67.533,lnorm,beef_co2e
bwater_co2e,digit,co2e,0.18,,0.18,const,bwater_co2e
juice_co2e,digit,co2e,0.88,,0.88,const,juice_co2e
soda_co2e,digit,co2e,0.27,,0.27,const,soda_co2e
coffee_co2e,digit,co2e,0.78,,0.78,const,coffee_co2e
tea_co2e,digit,co2e,0.28,,0.28,const,tea_co2e
milk_co2e,digit,co2e,0.95,1.33,1.94,lnorm,milk_co2e
milkaltern_co2e,digit,co2e,0.35,,0.35,const,milkaltern_co2e
wine_co2e,digit,co2e,0.88,,0.88,const,wine_co2e
beer_co2e,digit,co2e,0.53,,0.53,const,beer_co2e
otheralc_co2e,digit,co2e,2.38,,2.38,const,otheralc_co2e
O_high_oils,digit,consumption,21.864,,21.864,const,O_high_oils
O_high_beans,digit,consumption,1.648,,1.648,const,O_high_beans
