values,ind
1705,Scarborough et al. (2014) (-)
2066,Scarborough et al. (2014)
2686,Scarborough et al. (2014) (+)
942,Taylor (2000) (cradle-to-farmgate)
1047,Taylor (2000) (cradle-to-retail)
1380,Taylor (2000) (cradle-to-plate)
912,Tyszler et al. (2016) (-)
1314,Tyszler et al. (2016)
1058,Van de Kamp et al. (2018) (-)
1496,Van de Kamp et al. (2018)
1241,Van Dooren et al. (2014) (-)
1241,Van Dooren et al. (2014)
1321,Werner et al. (2014) (soydrink)
1584,Werner et al. (2014) (cheese -)
1650,Werner et al. (2014)
1695,Werner et al. (2014) (no dairy)
1761,Werner et al. (2014) (no milk)
605,Westhoek et al. (2014)  (-)
