values,ind
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
755.5811,Carbon_footprint_vegan
